case_id,category,difficulty,nl_query,sql,tables_used,columns_used,join_edges,expected_ambiguities,source_template,template_variant,notes
gold_011,customer,medium,Profile current customers with 2 yr Degree education and Good credit rating by income band and buy potential 5001-10000.,"
        SELECT cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN household_profiles hp ON c.current_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE cp.education_status = '2 yr Degree' AND cp.credit_rating = 'Good' AND hp.buy_potential = '5001-10000'
        GROUP BY cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound
        ",client_profiles;clients;household_profiles;income_ranges,client_profiles.client_profile_record;client_profiles.credit_rating;client_profiles.education_status;clients.client_record;clients.current_client_profile_ref;clients.current_household_profile_ref;household_profiles.buy_potential;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound,client_profiles.client_profile_record = clients.current_client_profile_ref;clients.current_household_profile_ref = household_profiles.household_profile_record;household_profiles.income_range_ref = income_ranges.income_range_record,,customer_income_profile,3,Current profile plus household income.
gold_012,customer,medium,Profile current customers with 2 yr Degree education and Good credit rating by income band and buy potential 501-1000.,"
        SELECT cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT c.client_record) AS customers
        FROM clients c
        JOIN client_profiles cp ON c.current_client_profile_ref = cp.client_profile_record
        JOIN household_profiles hp ON c.current_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE cp.education_status = '2 yr Degree' AND cp.credit_rating = 'Good' AND hp.buy_potential = '501-1000'
        GROUP BY cp.education_status, cp.credit_rating, hp.buy_potential, ir.lower_bound, ir.upper_bound
        ",client_profiles;clients;household_profiles;income_ranges,client_profiles.client_profile_record;client_profiles.credit_rating;client_profiles.education_status;clients.client_record;clients.current_client_profile_ref;clients.current_household_profile_ref;household_profiles.buy_potential;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound,client_profiles.client_profile_record = clients.current_client_profile_ref;clients.current_household_profile_ref = household_profiles.household_profile_record;household_profiles.income_range_ref = income_ranges.income_range_record,,customer_income_profile,4,Current profile plus household income.
gold_013,online_sales,medium,How many F online shoppers from TX bought Music in 2001?,"
        SELECT a.state, cp.gender, m.category, cd.year, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN client_profiles cp ON op.billing_client_profile_ref = cp.client_profile_record
        WHERE a.state = 'TX' AND cp.gender = 'F' AND m.category = 'Music' AND cd.year = 2001
        GROUP BY a.state, cp.gender, m.category, cd.year
        ",addresses;calendar_days;client_profiles;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_profile_ref;online_purchases.billing_client_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;client_profiles.client_profile_record = online_purchases.billing_client_profile_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_customer_slice,1,Transaction-time online customer geography and profile.
gold_014,online_sales,medium,How many F online shoppers from TX bought Music in 2002?,"
        SELECT a.state, cp.gender, m.category, cd.year, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN client_profiles cp ON op.billing_client_profile_ref = cp.client_profile_record
        WHERE a.state = 'TX' AND cp.gender = 'F' AND m.category = 'Music' AND cd.year = 2002
        GROUP BY a.state, cp.gender, m.category, cd.year
        ",addresses;calendar_days;client_profiles;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_profile_ref;online_purchases.billing_client_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;client_profiles.client_profile_record = online_purchases.billing_client_profile_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_customer_slice,2,Transaction-time online customer geography and profile.
gold_015,online_sales,medium,How many F online shoppers from TX bought Music in 2003?,"
        SELECT a.state, cp.gender, m.category, cd.year, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN client_profiles cp ON op.billing_client_profile_ref = cp.client_profile_record
        WHERE a.state = 'TX' AND cp.gender = 'F' AND m.category = 'Music' AND cd.year = 2003
        GROUP BY a.state, cp.gender, m.category, cd.year
        ",addresses;calendar_days;client_profiles;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_profile_ref;online_purchases.billing_client_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;client_profiles.client_profile_record = online_purchases.billing_client_profile_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_customer_slice,3,Transaction-time online customer geography and profile.
gold_016,online_sales,medium,How many F online shoppers from TX bought Music in 2004?,"
        SELECT a.state, cp.gender, m.category, cd.year, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN client_profiles cp ON op.billing_client_profile_ref = cp.client_profile_record
        WHERE a.state = 'TX' AND cp.gender = 'F' AND m.category = 'Music' AND cd.year = 2004
        GROUP BY a.state, cp.gender, m.category, cd.year
        ",addresses;calendar_days;client_profiles;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;client_profiles.client_profile_record;client_profiles.gender;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_profile_ref;online_purchases.billing_client_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;client_profiles.client_profile_record = online_purchases.billing_client_profile_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_customer_slice,4,Transaction-time online customer geography and profile.
gold_017,online_sales,hard,Online Music customers from TX in 2001 by household income band.,"
        SELECT a.state, m.category, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN household_profiles hp ON op.billing_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE a.state = 'TX' AND m.category = 'Music' AND cd.year = 2001
        GROUP BY a.state, m.category, ir.lower_bound, ir.upper_bound
        ",addresses;calendar_days;household_profiles;income_ranges;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_ref;online_purchases.billing_household_profile_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;household_profiles.household_profile_record = online_purchases.billing_household_profile_ref;household_profiles.income_range_ref = income_ranges.income_range_record;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_income_slice,1,Online transaction-time household profile.
gold_018,online_sales,hard,Online Music customers from TX in 2002 by household income band.,"
        SELECT a.state, m.category, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN household_profiles hp ON op.billing_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE a.state = 'TX' AND m.category = 'Music' AND cd.year = 2002
        GROUP BY a.state, m.category, ir.lower_bound, ir.upper_bound
        ",addresses;calendar_days;household_profiles;income_ranges;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_ref;online_purchases.billing_household_profile_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;household_profiles.household_profile_record = online_purchases.billing_household_profile_ref;household_profiles.income_range_ref = income_ranges.income_range_record;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_income_slice,2,Online transaction-time household profile.
gold_019,online_sales,hard,Online Music customers from TX in 2003 by household income band.,"
        SELECT a.state, m.category, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN household_profiles hp ON op.billing_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE a.state = 'TX' AND m.category = 'Music' AND cd.year = 2003
        GROUP BY a.state, m.category, ir.lower_bound, ir.upper_bound
        ",addresses;calendar_days;household_profiles;income_ranges;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_ref;online_purchases.billing_household_profile_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;household_profiles.household_profile_record = online_purchases.billing_household_profile_ref;household_profiles.income_range_ref = income_ranges.income_range_record;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_income_slice,3,Online transaction-time household profile.
gold_020,online_sales,hard,Online Music customers from TX in 2004 by household income band.,"
        SELECT a.state, m.category, ir.lower_bound, ir.upper_bound, COUNT(DISTINCT op.billing_client_ref) AS customers
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses a ON op.billing_address_ref = a.address_record
        JOIN household_profiles hp ON op.billing_household_profile_ref = hp.household_profile_record
        JOIN income_ranges ir ON hp.income_range_ref = ir.income_range_record
        WHERE a.state = 'TX' AND m.category = 'Music' AND cd.year = 2004
        GROUP BY a.state, m.category, ir.lower_bound, ir.upper_bound
        ",addresses;calendar_days;household_profiles;income_ranges;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;household_profiles.household_profile_record;household_profiles.income_range_ref;income_ranges.income_range_record;income_ranges.lower_bound;income_ranges.upper_bound;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.billing_client_ref;online_purchases.billing_household_profile_ref;online_purchases.merchandise_ref;online_purchases.sale_calendar_day_ref,addresses.address_record = online_purchases.billing_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;household_profiles.household_profile_record = online_purchases.billing_household_profile_ref;household_profiles.income_range_ref = income_ranges.income_range_record;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_income_slice,4,Online transaction-time household profile.
gold_021,online_sales,hard,Compare billing and shipping states for online Music purchases in 2001.,"
        SELECT ba.state AS billing_state, sa.state AS shipping_state, COUNT(*) AS purchase_rows, SUM(op.net_paid) AS net_paid
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses ba ON op.billing_address_ref = ba.address_record
        JOIN addresses sa ON op.shipping_address_ref = sa.address_record
        WHERE m.category = 'Music' AND cd.year = 2001
        GROUP BY ba.state, sa.state
        ",addresses;calendar_days;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.merchandise_ref;online_purchases.net_paid;online_purchases.sale_calendar_day_ref;online_purchases.shipping_address_ref,addresses.address_record = online_purchases.billing_address_ref;addresses.address_record = online_purchases.shipping_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_billing_shipping,1,Same dimension table joined twice with billing and shipping roles.
gold_022,online_sales,hard,Compare billing and shipping states for online Music purchases in 2002.,"
        SELECT ba.state AS billing_state, sa.state AS shipping_state, COUNT(*) AS purchase_rows, SUM(op.net_paid) AS net_paid
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses ba ON op.billing_address_ref = ba.address_record
        JOIN addresses sa ON op.shipping_address_ref = sa.address_record
        WHERE m.category = 'Music' AND cd.year = 2002
        GROUP BY ba.state, sa.state
        ",addresses;calendar_days;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.merchandise_ref;online_purchases.net_paid;online_purchases.sale_calendar_day_ref;online_purchases.shipping_address_ref,addresses.address_record = online_purchases.billing_address_ref;addresses.address_record = online_purchases.shipping_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_billing_shipping,2,Same dimension table joined twice with billing and shipping roles.
gold_023,online_sales,hard,Compare billing and shipping states for online Music purchases in 2003.,"
        SELECT ba.state AS billing_state, sa.state AS shipping_state, COUNT(*) AS purchase_rows, SUM(op.net_paid) AS net_paid
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses ba ON op.billing_address_ref = ba.address_record
        JOIN addresses sa ON op.shipping_address_ref = sa.address_record
        WHERE m.category = 'Music' AND cd.year = 2003
        GROUP BY ba.state, sa.state
        ",addresses;calendar_days;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.merchandise_ref;online_purchases.net_paid;online_purchases.sale_calendar_day_ref;online_purchases.shipping_address_ref,addresses.address_record = online_purchases.billing_address_ref;addresses.address_record = online_purchases.shipping_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_billing_shipping,3,Same dimension table joined twice with billing and shipping roles.
gold_024,online_sales,hard,Compare billing and shipping states for online Music purchases in 2004.,"
        SELECT ba.state AS billing_state, sa.state AS shipping_state, COUNT(*) AS purchase_rows, SUM(op.net_paid) AS net_paid
        FROM online_purchases op
        JOIN calendar_days cd ON op.sale_calendar_day_ref = cd.calendar_day_record
        JOIN merchandise m ON op.merchandise_ref = m.merchandise_record
        JOIN addresses ba ON op.billing_address_ref = ba.address_record
        JOIN addresses sa ON op.shipping_address_ref = sa.address_record
        WHERE m.category = 'Music' AND cd.year = 2004
        GROUP BY ba.state, sa.state
        ",addresses;calendar_days;merchandise;online_purchases,addresses.address_record;addresses.state;calendar_days.calendar_day_record;calendar_days.year;merchandise.category;merchandise.merchandise_record;online_purchases.billing_address_ref;online_purchases.merchandise_ref;online_purchases.net_paid;online_purchases.sale_calendar_day_ref;online_purchases.shipping_address_ref,addresses.address_record = online_purchases.billing_address_ref;addresses.address_record = online_purchases.shipping_address_ref;calendar_days.calendar_day_record = online_purchases.sale_calendar_day_ref;merchandise.merchandise_record = online_purchases.merchandise_ref,,online_billing_shipping,4,Same dimension table joined twice with billing and shipping roles.
